type,location,frequency
ns,东京,8
ns,札幌,3
ns,京都,2
ns,西武,2
ns,表参道,2
ns,深宫,2
ns,富士山,1
ns,四野,1
ns,后山,1
ns,北,1
ns,滨崎,1
ns,大和,1
ns,札,1
ns,小樽,1
ns,北海道,1
ns,空山,1
ns,少室山,1
ns,高山,1
ns,京城,1
ns,后乐园,1
ns,后花园,1
ns,地下铁,1
ns,东武,1
ns,伊豆,1
ns,新屋,1
ns,伊馆,1
nr,五指山,4
nr,湾仔,4
nr,太平山,3
nr,万年,2
nr,清水,2
nr,狮子山,2
nr,半山,2
nr,恒山,1
nr,天山,1
nr,乐活道,1
nr,香,1
nr,维园,1
nr,维港,1
nr,汉石屏,1
nr,荷里活,1
nr,荒街,1
nr,兰桂坊,1
nr,洪炉,1
nr,星街,1
nr,北京,1
nr,西山,1
nr,望夫山,1
nr,灵山,1
nr,内河,1
nr,康庄,1
nr,独家村,1
nr,珍,1
nr,革命湾,1
nr,钻石山,1
nr,柴湾,1
nr,北角,1
nr,铜锣湾,1
nr,中环,1
nr,金钟,1
nr,尖沙咀,1
nr,油麻地,1
nr,旺角,1
nr,太子,1
nr,九龙塘,1
nr,沙田,1
nr,上水,1
nr,罗湖,1
nr,深圳,1
nr,天台,1
nr,许留山,1
nr,赤腊角,1
nr,天星,1
nr,后园,1
nr,通水,1
nr,流城河,1
nr,文华,1
nr,糖街,1
nr,白加道,1
nr,凌霄阁,1
nr,平板山,1
nr,公,1
nr,青草地,1
nr,天街,1
nr,凯旋门,1
nr,皇室堡,1
nr,青衣,1
nr,侯斯顿,1
nr,蓝田,1
nr,顺德,1
nr,嘉信,1
nr,大,1
nr,桃花源,1
nr,密云,1
nr,深山,1
